title,link,company,salary,location,exp
AI Automation Marketing,https://www.topcv.vn/viec-lam/ai-automation-marketing/1898150.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,Khối Công nghệ thông tin - Viettel Telecom,Thoả thuận,Hà Nội,Không yêu cầu
Nhân Viên Kinh Doanh / Cross Selling - Giải Pháp Kế Toán/Hóa Đơn Điện Tử/Chữ Ký Số MISA (Data Có Sẵn),https://www.topcv.vn/brand/congtycophanmisa/tuyen-dung/nhan-vien-kinh-doanh-cross-selling-giai-phap-ke-toan-hoa-don-dien-tu-chu-ky-so-misa-data-co-san-j1891061.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,ProCông ty Cổ phần MISA,20 - 30 triệu,Hà Nội,Dưới 1 năm
Nhân Viên Gán Nhãn Dữ Liệu Tiếng Anh (Cấp Độ C1)- Thu Nhập 12- 14 Triệu/ Tháng- Đi Làm Ngay,https://www.topcv.vn/viec-lam/nhan-vien-gan-nhan-du-lieu-tieng-anh-cap-do-c1-thu-nhap-12-14-trieu-thang-di-lam-ngay/1882692.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH APPEN DATA TECHNOLOGY VIỆT NAM,12 - 14 triệu,Hà Nội,Không yêu cầu
"Flutter Mobile Apps Developer (Android, IOS)",https://www.topcv.vn/viec-lam/flutter-mobile-apps-developer-android-ios/1897703.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,Công ty Cổ phần Công nghệ Tài chính Goline,14 - 22 triệu,Hà Nội,2 năm
"Nhân Viên Kinh Doanh Phần Mềm/ Sales B2B/ Nhân Viên Tư Vấn, Thu Nhập 15 - 40 Triệu, Nghỉ T7 Và CN, Đi Làm Ngay - Hà Nội",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-sales-b2b-nhan-vien-tu-van-thu-nhap-15-40-trieu-nghi-t7-va-cn-di-lam-ngay-ha-noi/1882185.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH CNV HOLDINGS,15 - 40 triệu,Hà Nội,Dưới 1 năm
Nhân Viên Kinh Doanh Dự Án B2B (IT/Telecom),https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-du-an-b2b-it-telecom/1807589.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,ProCông Ty TNHH MTV Viễn Thông Quốc Tế FPT,Thoả thuận,"Hồ Chí Minh, Hà Nội",2 năm
"Backend Java Developer (Springboot, SQL, Eclipse RCP)",https://www.topcv.vn/viec-lam/backend-java-developer-springboot-sql-eclipse-rcp/1730867.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,Công Ty TNHH LG CNS VIỆT NAM,Thoả thuận,Hà Nội,3 năm
"Lập Trình Viên Front End (Front End Developer) - Thu Nhập Cao 35 Triệu, Làm Ngay Tại Quận 10",https://www.topcv.vn/viec-lam/lap-trinh-vien-front-end-front-end-developer-thu-nhap-cao-35-trieu-lam-ngay-tai-quan-10/1893843.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY CỔ PHẦN ĐT & PT LIA BEAUTY,20 - 35 triệu,Hồ Chí Minh,3 năm
Chuyên Viên Kinh Doanh Giải Pháp Chuyển Đổi Số Khối Cơ Quan Nhà Nước - Thu Nhập Lên Tới 50 Triệu,https://www.topcv.vn/brand/congtycophanmisa/tuyen-dung/chuyen-vien-kinh-doanh-giai-phap-chuyen-doi-so-khoi-co-quan-nha-nuoc-thu-nhap-len-toi-50-trieu-j1898307.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,ProCông ty Cổ phần MISA,Tới 50 triệu,"Hà Nội, Hồ Chí Minh",Không yêu cầu
Nhân Viên Kinh Doanh Tư Vấn Phần Mềm Thu Nhập Từ 10 - 15 Triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-phan-mem-thu-nhap-tu-10-15-trieu/1892221.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH FINAN,10 - 15 triệu,Hồ Chí Minh,Dưới 1 năm
Junior AI Engineer,https://www.topcv.vn/viec-lam/junior-ai-engineer/1899483.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH ARBIN INSTRUMENTS VIỆT NAM,Thoả thuận,Bình Dương,1 năm
Power Platform Developer - Hà Nội/ Hồ Chí Minh - Upto 60.000.000,https://www.topcv.vn/viec-lam/power-platform-developer-ha-noi-ho-chi-minh-upto-60-000-000/1895275.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,Công ty cổ phần Công nghệ thông tin Phú Minh (Phú Minh Teck),Tới 60 triệu,"Hà Nội, Hồ Chí Minh",2 năm
Chuyên Viên Nhập Liệu Data (Data Entry) - Fresher,https://www.topcv.vn/viec-lam/chuyen-vien-nhap-lieu-data-data-entry-fresher/1829148.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,Công ty TNHH Esoft Vietnam,11 - 13 triệu,Hà Nội,Dưới 1 năm
